Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-05-09,AXISBANK,511.2,513,521.25,510.55,519.05,518.2,516.37,7872272,406503864155000,74783,3633872,0.4616
2017-05-10,AXISBANK,518.2,519,527.55,515.7,525.6,526.35,523.26,8812464,461123239635000,92342,3299600,0.3744
2017-05-11,AXISBANK,526.35,525.2,534.6,513.45,515.4,516.9,525.97,8962710,471414050160000,101765,2995266,0.3342
2017-05-12,AXISBANK,516.9,516.7,516.85,499.2,503.9,503,507.04,9934430,503710379364999,132361,4127765,0.4155
2017-05-15,AXISBANK,503,505,508.5,498.4,500.25,500.1,502.95,8806756,442938419325000,109965,4320438,0.4906
2017-05-16,AXISBANK,500.1,502.1,504.5,493.5,502.05,501.5,499.85,8610492,430393830725000,101028,4027982,0.4678
2017-05-17,AXISBANK,501.5,501.35,506.75,498.5,502,502.8,502.88,6443135,324015419285000,84189,2876528,0.4464
2017-05-18,AXISBANK,502.8,498,499.1,490.25,492.85,492,494.96,9227022,456699282920000,95624,5348691,0.5797
2017-05-19,AXISBANK,492,495.75,503.85,494.2,501.9,501.7,499.1,7611430,379889995675000,72985,4190505,0.5506
2017-05-22,AXISBANK,501.7,504,507.45,499.5,502,502.3,503,4970982,250038261130000,62027,2665857,0.5363
2017-05-23,AXISBANK,502.3,502.25,506.1,495.2,500.5,500.6,500.17,7549551,377602809015000,69512,4120666,0.5458
2017-05-24,AXISBANK,500.6,503,505,495,499.65,499.3,498.39,7271148,362390199120000,61592,4986725,0.6858
2017-05-25,AXISBANK,499.3,502,509.9,495.85,507.85,507.45,504.39,9157557,461902257805000,106201,4220728,0.4609
2017-05-26,AXISBANK,507.45,508,513,505,510.5,511.45,508.86,5995136,305068263470000,72779,2824290,0.4711
2017-05-29,AXISBANK,511.45,511.9,515,502.2,507.45,507.25,507.58,5441466,276199551444999,62036,2462115,0.4525
2017-05-30,AXISBANK,507.25,505,516.95,503.65,514,514.4,512.4,4725430,242132042930000,81509,1690453,0.3577
2017-05-31,AXISBANK,514.4,514,516,509.5,514.05,514.05,513.03,7263061,372617406640000,127912,4571507,0.6294
2017-06-01,AXISBANK,514.05,512.15,515.95,505.5,510,509.3,509.17,8105813,412726452485000,50261,5638214,0.6956
2017-06-02,AXISBANK,509.3,513.5,513.5,506.35,507.5,508.05,509.46,4474040,227936453850000,69112,2589478,0.5788
2017-06-05,AXISBANK,508.05,507.35,516.75,507,513.8,513.65,513.15,3858825,198013906730000,57915,1623770,0.4208
2017-06-06,AXISBANK,513.65,514,514.4,505.55,509.75,510.2,509.31,3866339,196915333835000,42061,1846559,0.4776
2017-06-07,AXISBANK,510.2,510,515.45,508.1,514.45,514.2,511.95,3389166,173509353210000,63216,1606010,0.4739
2017-06-08,AXISBANK,514.2,514,521.8,511.35,515,515.75,517.07,5980728,309244224275000,91962,2729718,0.4564
2017-06-09,AXISBANK,515.75,515,516.35,509.4,513.1,513.65,513.11,3242063,166354321900000,49349,1170363,0.361
2017-06-12,AXISBANK,513.65,512.45,513.1,506,507.15,507.5,509.94,2360518,120373109540000,43179,977595,0.4141
